workload,iter,status,total_ms,keda_scaled,pod_created,running,ready,warm_ms
wasm,1,200,1988.9,679.8,679.8,1450.7,2450.4,1.45
wasm,2,200,1477.6,624.0,652.3,1467.4,1625.2,1.51
wasm,3,200,2041.5,900.8,931.3,1500.2,2902.8,0.84
wasm,4,200,2853.9,488.4,518.1,2101.3,3445.9,1.44
wasm,5,200,1508.7,702.0,702.0,1271.1,1706.5,1.38
wasm,6,200,2075.0,1030.2,1030.2,2000.7,2066.4,0.76
wasm,7,200,2402.7,1029.0,1029.0,1582.9,3000.1,1.37
wasm,8,200,1734.3,670.6,670.6,1524.0,1994.9,1.53
container,1,200,953.8,404.0,404.0,936.5,1398.8,0.89
container,2,200,846.4,274.0,302.2,833.2,1274.4,0.73
container,3,200,1397.0,801.9,831.6,1390.8,1390.8,0.48
container,4,200,1279.7,383.9,412.2,1260.7,1384.5,0.8
container,5,200,1750.5,871.0,891.8,1922.6,1922.6,0.84
container,6,200,1100.7,514.8,489.5,1431.5,1431.5,0.75
container,7,200,1888.9,1000.7,1034.8,1882.5,1882.5,0.45
container,8,200,1212.1,333.8,363.0,1193.2,1334.5,0.82
python,1,200,2227.7,296.2,322.3,1175.1,2320.4,1.62
python,2,200,2252.0,632.1,659.9,1625.9,2245.6,0.71
python,3,200,1557.8,618.3,618.3,1399.9,1553.5,0.6
python,4,200,1721.9,506.3,533.9,1366.7,1814.4,1.52
python,5,200,1741.5,306.0,392.1,1566.8,2010.0,1.47
python,6,200,1406.9,622.4,651.4,1402.8,1623.1,1.22
python,7,200,2512.2,530.5,560.8,1701.9,2505.9,0.67
python,8,200,1783.2,473.9,508.5,1028.6,2106.5,1.43
