NAME                                                    CPU(cores)   MEMORY(bytes)   
keda-add-ons-http-controller-manager-8699798fb6-hs2zq   3m           13Mi            
keda-add-ons-http-external-scaler-64556859bc-bntjn      7m           15Mi            
keda-add-ons-http-external-scaler-64556859bc-grlz7      6m           14Mi            
keda-add-ons-http-external-scaler-64556859bc-wtlxc      12m          16Mi            
keda-add-ons-http-interceptor-876d574bf-cd9hk           5m           13Mi            
keda-add-ons-http-interceptor-876d574bf-hnb7s           5m           13Mi            
keda-add-ons-http-interceptor-876d574bf-pcnnq           5m           13Mi            
keda-admission-webhooks-58876db69c-pp98m                1m           10Mi            
keda-operator-db67b55f6-ff42q                           8m           39Mi            
keda-operator-metrics-apiserver-d75fdf797-zhxvj         7m           30Mi            
